document;left context;formula;;;unique;count
Puzhaeva_Горин. Тот самый Мюнхгаузен;Мне казалось, ложь – ваша стихия! 	Я всегда говорю только правду… 	Перестаньте, барон!.. ;хватит валять дурака;;;к чему ты;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Не надо, Карл! 	Нет, нет… Здесь я повешу его голову, иначе мне опять не поверят!.. 	;всего доброго;;;ну-у;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;До чего мы докатились – дворянин подслушивает под окнами. 	Во-первых, я не подслушивал, а случайно услышал этот разговор. Во-вторых, баронесса, вы же сами просили… 	;конечно;;;скажите пожалуйста;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Немедленно! Господин Рамкопф, вы друг нашей семьи, вы трогательно о нас заботитесь, сделайте же еще один шаг. 	Все, что от меня зависит! 	Вызовите его на дуэль! 	;нет;;;очень даже;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;он меня убьет, во-вторых… 	;этого достаточно;;;это что значит;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Изрубить бы ее на куски! 	Не смей!.. Он утверждает, что это – работа Рембрандта. 	;чушь собачья;;;и вы туда же;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Изрубить бы ее на куски! 	Не смей!.. Он утверждает, что это – работа Рембрандта. 	Чушь собачья! 	;разумеется;;;ну вот еще;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Но нельзя же допускать, чтобы на них женились. Это аморально! 	Вот тут-то мы и подошли к самому печальному сообщению: его величество герцог удовлетворил прошение барона о разводе. 	;не может быть;;;совершенно верно;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Будучи в некотором возбуждении, герцог подписал несколько прошений о разводах со словами: «На волю! Всех – на волю!..» Теперь, если духовная консистория утвердит это решение, барон может жениться во второй раз… 	;так;;;ну ладно уж;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Я ничего не хочу сказать, Феофил! Я просто отмечаю, что сегодня – великолепный день. У меня нет никаких оснований утверждать, что он разогнал облака, но и говорить, что он НЕ разогнал облака, значит противоречить тому, что видишь. 	Вы смеетесь над нами? 	;что вы;;;так что ж;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Что ж! Вините в последствиях только самих себя… Не страшно, что я одинока, страшно, что он – на свободе!!! 	 	;благодарю вас;;;как сказать;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Именем святой духовной консистории объявляю вас свободными друг от друга!  (Ребром ладони разводит бывших супругов.) 	Остановитесь, господин пастор! 	 	;что это значит;;;авось;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Вы ошиблись, барон. 	Почему? Я поставил точное число. 	Такого числа нет! 	;ну-ну;;;ай-яй;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Я пойду переоденусь. Если Карл будет спрашивать меня, я переодеваюсь.  (Быстро проходит в свою комнату.) С шумом появляются Мюнхгаузен и Бургомистр. 	;оставьте меня в покое;;;какая чепуха;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Ах, да… Я же велел ей надеть подвенечное платье. Мы собирались ехать в церковь… 	Сразу?! 	;а чего же тянуть;;;ч-черт;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;context not found;конечно;;;= почему;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Он тебе совершенно не идет… И баул не гармонирует. Сядь, успокойся, давайте обсудим создавшееся положение. 	;хорошо;;;а мне все равно;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Ну скажите, черт возьми, откуда оно вдруг взялось?! 	Я вам давно пытаюсь объяснить. 	Тридцать второе? Этого и я не знала. 	;правильно;;;ну так;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Все, что хотите, кроме лжи! Соглашусь на что угодно, но никогда не скажу, что белое – это черное, что тридцать второе – первое. 	Значит, вы не любите фрау Марту! 	;неправда;;;спасибо тебе;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;И твоя Марта где-то далеко или еще не родилась?.. Не требуй от меня большего, чем могу… Знаешь, о чем я мечтаю? 	;конечно;;;да что делать;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Нет, нет, ничего не говори… Я сам все пойму…  (Подходит к ней, смотрит в глаза.);ну что ж;;;как это понимать;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Нет, нет, ничего не говори… Я сам все пойму…  (Подходит к ней, смотрит в глаза.)Ну что ж… ;ладно;;;с ума сошел;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Что с тобой?.. Ну, ну… Так нельзя! Будь мужчиной! 	;да;;;как дела;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Ну, ну… Так нельзя! Будь мужчиной! 	Да, ;конечно;;;hy-ну;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Так нельзя! Будь мужчиной! 	Да, конечно, ;извините меня;;;туда-сюда;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Мы издали полное собрание подвигов барона, его имя присвоено гренадерскому полку… Теперь – этот памятник! Чего ж еще?! 	Все это не вернет его нам! 	;что поделаешь;;;покорнейше благодарю-с;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Появляется Томас, делает какие-то знаки Феофилу. 	;в чем дело;;;ну знаете ли;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;В чем дело, Томас? 	;извините;;;что тебе надобно;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Впрочем, ты уже многого добился: в свои двадцать два года стал ротмистром… 	Дело не в чинах! Я – барон Мюнхгаузен, с меня достаточно и этого звания. 	;разумеется;;;да полноте же наконец;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Конечно…  (Рамкопфу, строго.)Не говори ерунды, Генрих! 	;а что тут такого;;;никто;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Они результат фантазии и непомерного самомнения. Простой смертный не может свершить ничего похожего… Стало быть, барон либо хвастун и враль, либо… святой? 	;а почему бы и нет;;;но все-таки;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Я не смогу… Я не готов! 	Я могу дать вам свой конспект… 	Как-нибудь обойдусь! 	;разумеется;;;ь;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Прекрасное издание… А какие гравюры! 	Спасибо, я ее уже купил… 	;вот и прекрасно;;;что-что-что;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Бедный юноша, совсем свихнется…  (Подняв утку, задумался, подошел к окну, размахнулся.) 	Не стоит, господин барон. 	Думаешь?.. ;да;;;да уж;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Она у меня луженая… У меня дед служил эхом еще при ландграфе Гессенском. 	Ах, так?.. Наследственный промысел?.. ;ну-ну;;;слущаю-с;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Сразу после смерти. При жизни было абсолютно некогда поболеть, но теперь… Они нашли у меня подагру, катар верхних и нижних путей и мигрень. У вас бывает мигрень? 	;слава богу;;;и пусть;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Сегодня он идет по талеру за штуку… А если учесть количество свадеб, юбилеев, премьер, то на нем можно неплохо заработать… Вы знаете, только мои похороны дали мне чистых две тысячи… 	;что вы говорите;;;тебе что до того;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Сегодня он идет по талеру за штуку… А если учесть количество свадеб, юбилеев, премьер, то на нем можно неплохо заработать… Вы знаете, только мои похороны дали мне чистых две тысячи… 	Что вы говорите? 	;а вы как думали;;;так чё;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Да, Карл… Кстати, а зачем ты приехал? 	А может, еще по бокалу лесной воды? 	Нам некогда! 	;ну ладно;;;доброй дороги;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Да поймите наконец, что вы уже себе не принадлежите. Вы – миф, легенда! И народная молва приписывает вам новые подвиги. 	Народная молва не додумается до такого идиотизма. 	;ну знаете ли;;;пока нет;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Завтра – тридцать второе мая. 	Именно поэтому памятник не годится! 	Да что за спешка?! Вы словно с цепи сорвались… 	;так оно и есть;;;упаси бог;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Грустно.)От меня ушла Марта. 	;как;;;как-с можно;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Нет! Вы ее плохо знаете… Чтоб вернуть ее, придется вернуть себя. 	;как это понимать;;;допустим;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Я хочу спросить у молодого барона: что вы знаете о своем отце? 	Не понимаю… 	Ну, каким он был? 	Он был героем! 	;так;;;не-е;1
Puzhaeva_Горин. Тот самый Мюнхгаузен;Пропустите! Я имею право! 	Фео, не сходите с ума! 	;хватит;;;да ну;1
Puzhaeva_Тургенев. Где тонко там и рвется;Я и то здесь в первый раз. Меня представили madame de Libanoff, как ты говоришь, на бале у губернатора, я танцевал с ее дочерью и удостоился приглашения. (Оглядывается.) А дом у нее хорош!  	 ;еще бы;;;здоров;1
Puzhaeva_Тургенев. Где тонко там и рвется;Ну, это-то мне все равно. Ты знаешь, я не жених.  	 Ты не жених, а (оглядывая его с ног до головы) одет женихом.  	 Да ты уж не ревнуешь ли?  	 ;вот тебе на;;;да не за что;1
Puzhaeva_Тургенев. Где тонко там и рвется;с нетерпеньем). Да что ж ты о дочери ничего не говоришь?  	 ;а вот постой;;;в яблочко;1
Puzhaeva_Тургенев. Где тонко там и рвется;Что за вздор! Да я готов все тебе рассказать...  	 Ну, так ты сватаешься...  	 ;да нет же;;;благодарствуйте;1
Puzhaeva_Тургенев. Где тонко там и рвется;Уж я и начал вчера. И не принуждал себя, вот что удивительно. Я самого себя перестаю понимать, ей-богу.  	 Как же это ты начал?  	 ;а вот как;;;чего извольте;1
Puzhaeva_Тургенев. Где тонко там и рвется;4 У меня голова сегодня немного болит.  Варвара Ивановна. Вы поздно ложитесь, Анна Васильевна!  Г-жа Либанова. ;может быть;;;в точку;1
Puzhaeva_Тургенев. Где тонко там и рвется;Г-жа Либанова. Пошли в город Гаврила за мелками... знаешь, какие я люблю.  	 ;слушаю-с;;;короче;1
Puzhaeva_Тургенев. Где тонко там и рвется;чтобы побольше их взяли... А что покос?  	 ;слушаю-с;;;слушаю-c;1
Puzhaeva_Тургенев. Где тонко там и рвется;Покос продолжается.  Г-жа Либанова. ;ну;;;прошу покорнейше;1
Puzhaeva_Тургенев. Где тонко там и рвется;Г-жа Либанова. В саду... Ну, позови его.  	 ;слушаю-с;;;оно и видно;1
Puzhaeva_Тургенев. Где тонко там и рвется;Ну, ступай.  	 ;слушаю-с;;;да бог с ним;1
Puzhaeva_Тургенев. Где тонко там и рвется;II n'est pas genant? 2  	 О, нисколько.  Г-жа Либанова. И в преферанс играет?  	 ;как же;;;вовсе нет;1
Puzhaeva_Тургенев. Где тонко там и рвется;Да, капитан... подите... посмотрите, что они, отпили чай?  	 ;слушаю;;;говорю;1
Puzhaeva_Тургенев. Где тонко там и рвется;А! да вот и они.  Входят Вера, Мухин, m-lle Bienaime, Варвара Ивановна.  Мое почтение всей компании.  	 ;здравствуйте;;;еб твою душу;1
Puzhaeva_Тургенев. Где тонко там и рвется;Г-жа Либанова (целуя ее в лоб). Bonjour, petite... 5  Мухин раскланивается.  Monsieur Мухин,;милости просим;;;ну и че;1
Puzhaeva_Тургенев. Где тонко там и рвется;Теперь жарко... Скоро двенадцатый час... Теперь самый жар.  Г-жа Либанова. ;как хотите;;;не дури;1
Puzhaeva_Тургенев. Где тонко там и рвется;Давайте, матушка, давайте... Что за рано? Надо вам отыграться.  Г-жа Либанова. ;как же;;;я имею в виду;1
Puzhaeva_Тургенев. Где тонко там и рвется;context not found;как же;;;минуточку;1
Puzhaeva_Тургенев. Где тонко там и рвется;Сознаюсь вам откровенно: мне не хочется, мне страшно поддаться тому невольному очарованию, которого я наконец не могу же не признать... Я всячески стараюсь от него отделаться, словами, насмешками, рассказами... Я болтаю, как старая девка, как ребенок...  	 ;зачем же это;;;а ну-ка стоп;1
Puzhaeva_Тургенев. Где тонко там и рвется;Кругом ни одного человека знакомого, звуки чужого языка изредка раздаются на улице, из раскрытого окна веет свежестью близкого моря... белый занавес тихо округляется, как парус, дверь раскрыта в сад, и на пороге, под легкой тенью плюща...  	 О, да вы поэт...  	 ;сохрани меня бог;;;ну спасибо;1
Puzhaeva_Тургенев. Где тонко там и рвется;Мне бы хотелось... теперь... а то в течение дня... Вы сами знаете...  	 ;ну;;;ну знаете;1
Puzhaeva_Тургенев. Где тонко там и рвется;войдите да скажите ей... Да возьмите ваши конфекты...  	 ;и то правда;;;так и что;1
Puzhaeva_Тургенев. Где тонко там и рвется;где мне, конечно... Вы, конечно, правы...  	 Дайте мне подумать, Владимир Петрович.  	 ;как;;;что же такое;1
Puzhaeva_Тургенев. Где тонко там и рвется;может быть, Станицын возбуждает в вас... как это сказать... ревность, что ли?  	 ;а почему же нет;;;и то правда;1
Puzhaeva_Тургенев. Где тонко там и рвется;context not found;а бог знает;;;забавно;1
Puzhaeva_Тургенев. Где тонко там и рвется;А вы ужасно проницательны... Но вы меня извините... Я, кажется, сказал вам: "подождите". Это непростительно глупое слово просто сорвалось у меня с языка...  	 ;в самом деле;;;вот еще тоже;1
Puzhaeva_Тургенев. Где тонко там и рвется;Варвара Ивановна. Барометр сегодня очень опустился... (Садится немного позади г-жи Либановой.)  Г-жа Либанова. ;в самом деле;;;уф;1
Puzhaeva_Тургенев. Где тонко там и рвется;Что же вы, господа? Горский, затейте что-нибудь.  	 Хотите, я вам прочту вступление в естественную историю Бюффона?  Г-жа Либанова. ;ну;;;что это такое;1
Puzhaeva_Тургенев. Где тонко там и рвется;франц.).  Г-жа Либанова. ;то-то же;;;ну серьезно;1
Puzhaeva_Тургенев. Где тонко там и рвется;Я готов... А вы, Вера Николаевна?  	 Я тоже... готова.  	 ;ну и прекрасно;;;зря вы так;1
Puzhaeva_Тургенев. Где тонко там и рвется;context not found;хорошо;;;молчать;1
Puzhaeva_Тургенев. Где тонко там и рвется;Какую вздумается... Ну, сядемте, сядемте... Вам угодно, Вера Николаевна?  	 ;отчего же нет;;;будто бы уж все;1
Puzhaeva_Тургенев. Где тонко там и рвется;А почему вы знаете, что я не всегда такова? Вы меня видите в первый раз.  	 О нет-с, как можно, чтобы вы всегда так были...  	 ;в самом деле;;;чего опять;1
Puzhaeva_Тургенев. Где тонко там и рвется;Ну, это, разумеется, неприятно.  	 Я согласна со Станицыным... Как можно так, вдруг...  	 ;и я того же мнения;;;да вам-то что;1
Puzhaeva_Тургенев. Где тонко там и рвется;не всякий же день... (К Вере.) Да и вы, например, сегодня... То ли дело вчера!  	 ;что вы хотите сказать;;;тоже мне;1
Puzhaeva_Тургенев. Где тонко там и рвется;Да, мы были довольно смешны вчера... И вы тоже уносились, как вы говорите, в небо... Вообразите, господа, Горский мне вчера читал стихи, да какие все сладкие, задумчивые!  	 Он вам читал стихи?  	 ;как же;;;а вам как угодно;1
Puzhaeva_Тургенев. Где тонко там и рвется;Чуханов. Уж не он ли как-нибудь...  	 Ах, батюшка Евгений Андреич, как я рад, что застал вас одних!  	 ;что вам угодно;;;за ваше здоровье;1
Puzhaeva_Тургенев. Где тонко там и рвется;нельзя ли, так сказать, стороной?.. (Еще значительнее подмигивает.) Притом же, вы почитай что хозяин уже в доме... хе-хе!  	 ;в самом деле;;;а почему же нет;1
Puzhaeva_Тургенев. Где тонко там и рвется;А коли что понадобится, только мигните. (Откидывает голову.) Эх, да и молодец же какой!..  	 ;ну;;;ну вот видите;1
Puzhaeva_Тургенев. Где тонко там и рвется;все исполню, будьте покойны.  	 ;слушаю-с;;;одно и то же;1
Puzhaeva_Тургенев. Где тонко там и рвется;Кто бы мог это представить...  	 Да что такое наконец?  	 Я попросил у Веры Николаевны ее руки, и она...  	 ;что же она;;;а то еще хуже;1
Puzhaeva_Тургенев. Где тонко там и рвется;У него... Вы будете раскаиваться.  	 Нет.  	 Вы поступили под влиянием досады.  	 ;может быть;;;воля ваша;1
Puzhaeva_Тургенев. Где тонко там и рвется;Вы же применили ко мне стихи вашего Лермонтова, вы мне сказали, что я пойду безвозвратно, куда меня поведет случайность... Притом вы сами знаете. Горский, с вами я была бы несчастлива.  	;много чести;;;видите ли;1
Puzhaeva_Тургенев. Где тонко там и рвется;(Кладет руку в карман.) Ах, кстати, Вера Николаевна, пожалуйте сюда... (Идет на авансцену.)  	 Что вы мне хотите сказать?  	 ;а;;;ну и прекрасно;1
Puzhaeva_Тургенев. Где тонко там и рвется;Впрочем, чувствительность ко мне не пристала... не правда ли? И точно, да здравствуют насмешливость, веселость и злость! Вот я опять в своей тарелке.  	 ;и прекрасно;;;боже;1
Puzhaeva_Тургенев. Где тонко там и рвется;Вера глядит на него, Горский продолжает не без волнения.);прощайте;;;прекрати;1
Puzhaeva_Тургенев. Где тонко там и рвется;Myхин (восклицает). J'ai gagne encore un fois! 2  	 Все к лучшему. Горский!  	 ;может быть;;;да как вы смеете;1
Puzhaeva_Тургенев. Где тонко там и рвется;context not found;может быть;;;до завтра;1
Puzhaeva_Тургенев. Где тонко там и рвется;Г-жа Либанова (с чувством). С удовольствием. Варвара Ивановна, душа моя, прикажите.  Варвара Ивановна. ;слушаю-с;;;б;1
Puzhaeva_Тургенев. Где тонко там и рвется;С удовольствием. Варвара Ивановна, душа моя, прикажите.  Варвара Ивановна. Слушаю-с, ;слущаю-с;;;господь с нами;1
Puzhaeva_Тургенев. Где тонко там и рвется;Ведь я все-таки остаюсь церемониймейстером?  Г-жа Либанова. Да, да, Eugene, конечно.  	 ;ну;;;слава богу-с;1
Puzhaeva_Тургенев. Завтрак у Предводителя;В средине выход, направо кабинет, окна  позади, в стороне накрытый стол с закуской. Герасим хлопочет около  	 Услышав стук экипажа, он подходит к окну.  ЯВЛЕНИЕ ПЕРВОЕ  Герасим и Мирволин.  	 ;здравствуй;;;с чего вы;1
Puzhaeva_Тургенев. Завтрак у Предводителя;Герасим хлопочет около  	 Услышав стук экипажа, он подходит к окну.  ЯВЛЕНИЕ ПЕРВОЕ  Герасим и Мирволин.  	 Здравствуй, Герасим! ;как поживаешь;;;иди в жопу;1
Puzhaeva_Тургенев. Завтрак у Предводителя;А что, он еще не выходил?  	 ;здравствуйте;;;а что поделаешь;1
Puzhaeva_Тургенев. Завтрак у Предводителя;Не знаешь, кого?  	 Не знаю. Говорят, будто сегодня Беспандина с сестрой мирить хотят: так вот разве по этому случаю.  	 ;э-э;;;и все же;1
Puzhaeva_Тургенев. Завтрак у Предводителя;Не знаешь, кого?  	 Не знаю. Говорят, будто сегодня Беспандина с сестрой мирить хотят: так вот разве по этому случаю.  	 Э-э! ;неужли;;;нет уж;1
Puzhaeva_Тургенев. Завтрак у Предводителя;Не знаю. Говорят, будто сегодня Беспандина с сестрой мирить хотят: так вот разве по этому случаю.  	 Э-э! неужли? ;что ж;;;ап;1
Puzhaeva_Тургенев. Завтрак у Предводителя;говорят, Николай Иваныч у Беспандина хотят рощу купить?  	 ;а господь их знает;;;не смеши;1
Puzhaeva_Тургенев. Завтрак у Предводителя;Так, так, так-так-то, ты уж так и распорядись,- слышишь? (Мирволину.) А, ты, ;здравствуй;;;как знаешь;1
Puzhaeva_Тургенев. Завтрак у Предводителя;Так, так, так-так-то, ты уж так и распорядись,- слышишь? (Мирволину.) А, ты, здравствуй!  	 ;нижайшее мое почтение;;;иди ты;1
Puzhaeva_Тургенев. Завтрак у Предводителя;ты понимаешь. Ведь ты понял?  	 ;как же-с;;;с ума сойти;1
Puzhaeva_Тургенев. Завтрак у Предводителя;Ведь ты понял?  	 Как же-с, ;как же-с;;;протестую;1
Puzhaeva_Тургенев. Завтрак у Предводителя;я велю тебя позвать. Можешь идти.  	 ;слушаю-с;;;ну во-от;1
Puzhaeva_Тургенев. Завтрак у Предводителя;стало быть-с, бумаги по делу вдовы Кауровой приготовить-с?..  	 ;ну;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;бумаги по делу вдовы Кауровой приготовить-с?..  	 Ну, ;конечно;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Ну, конечно, ;конечно;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Ты должен был понять наконец, братец.  	 Да вы ничего не изволили мне...  	 Мало чего! Не все же мне тебе сказывать наконец!  	 ;слушаю-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;А не слишком понятлив этот молодой человек. (К Мирволину.) Ну, как ты? (Садится.)  	 ;слава богу-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Как вы в своем здоровье?  	 Я ничего В городе был?  	 ;как же-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;вчера свою супругу опять  того-с...  	 ;в самом деле;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Петра Петровича в новой коляске встретил. Знать, куда в гости собрались: с лакеем, и на лакее шляпа  	  	 Он сегодня у меня будет. А что, у него  коляска хороша?  	 ;как вам сказать-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;больше для важности. А это оне любят поважничать-то. Оне, говорят, опять намерены баллотироваться.  	 В предводители?  	 ;точно так-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;А это оне любят поважничать-то. Оне, говорят, опять намерены баллотироваться.  	 В предводители?  	 Точно так-с! ;что ж;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Ты думаешь? Впрочем, Петр Петрович, я должен сказать, весьма почтенный человек во всех отношениях и совершенно заслуживает... Конечно, с другой стороны, лестное внимание дворянства... Выпей-ка водки.  	 ;покорнейше благодарю-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;context not found;никак нет-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;вздор! выпей.  	 ;за ваше здоровье;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Почему ты это думаешь?  	 Как же нам этого не знать! ;помилуйте;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Все Пехтеревыми прозывались, искони Пехтеревы, а не Пехтерьевы. Пехтерьев- эдакой и фамилии у нас никогда не бывало... что за  Пехтерьев?  	 ;а;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Позвольте узнать, с кем имею честь...  	 Мирволин, помещик, здешний житель... может быть, слыхали?  	 ;никак нет-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Татьяна Семеновна, родственница?..  	 ;никак нет-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Тамбовская!  	 Да-с, тамбовская, вдова-с. А позвольте узнать, вам здешний становой пристав знаком?  	 Порфирий Игнатьич? ;еще бы;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Прошу присесть... Я... я, помнится, имел удовольствие видеть вас у почтенного Афанасия Матвеича.  	 ;точно так-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;context not found;точно так-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;позвольте старому солдату объясниться с вами откровенно.  	 Сделайте одолжение. ;что такое;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Николай Иванович! ваш становой - первый плут-с.  	 Гм! Однако вы сильно выражаетесь.  	 ;нет;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Я старый солдат, я обиду получил, честь моя страдает. Становой мне говорит, и самым эдак неприличным образом: дескать, я вас... Помилуйте!  	 Евгений Тихоныч приехать изволили.  	 ;извините;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Помилуйте!  	 Евгений Тихоныч приехать изволили.  	 Извините, пожалуйста... Евгений Тихоныч! ;милости просим;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;ЯВЛЕНИЕ ПЯТОЕ  Те же и Суслов.  	 ;хорошо;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Хорошо, хорошо! ;спасибо;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;спасибо... Господа! ;честь имею;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;context not found;наше вам;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Евгений Тихоныч!  	 А, ;здравствуй;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Жива... Экая жара! Если б не к вам, Николай Иваныч, ей-богу с места не тронулся бы.  	 ;спасибо;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Любезный мой Антон Семеныч, вы мне после изложите ваше неудовольствие, а теперь... вы видите сами... Я, с своей стороны, поверьте, особое обращу внимание,- будьте покойны. Вы с Евгений Тихонычем знакомы?  	 ;никак нет-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;кстати! позвольте обратиться к вам с просьбой, Антон Семеныч. Вы можете помочь нам в деле, которое, так сказать, равно касается до всех дворян.  А л у п к и н. ;та-ак;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Впрочем, вы ее увидите.  	 Это у них в роду-с, Николай Иваныч: ихняя матушка, покойница Пелагея Арсеньевна, еще того хуже была-с. Говорят, в молодых летах будучи, кирпич им на голову упал: так, может, от этого-с...  	 ;может быть;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;помочь нам то есть в этом деле?  	 Я с удовольствием... но, не будучи знаком, кажется...  	 ;что ж такое;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;помочь нам то есть в этом деле?  	 Я с удовольствием... но, не будучи знаком, кажется...  	 Что ж такое! ;это ничего;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Легка на помине.  ЯВЛЕНИЕ ШЕСТОВ  Те же и Каурова (в шляпке, с ридикюлем).  	 А, наконец! ;милости просим;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;не угодно ли-с?  	 Ферапонт Ильич еще не приезжал-с?  Балагалаев, Нет еще, впрочем, он теперь скоро будет. Не угодно ли закусить?  	 ;покорно благодарю-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;огурцы... Чаю не прикажете ли?  	 ;нет-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Чаю не прикажете ли?  	 Нет-с, ;покорно благодарю;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Вы извините меня, Николай Иваныч, коли я опоздала. (Садится.) И то слава богу, что в целости доехала, кучер мой чуть-чуть меня не вывалил.  	 ;скажите пожалуйста;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;ох, слишком!  	 Ну, это мы увидим, Анна Ильинишна! Я так, напротив, надеюсь сегодня кончить ваше дело, пора.  	 ;дай бог;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;ох, слишком!  	 Ну, это мы увидим, Анна Ильинишна! Я так, напротив, надеюсь сегодня кончить ваше дело, пора.  	 Дай бог, ;дай бог;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;А уж я что!..  	 Полноте, Анна Ильинишна, полноте! Вот я вам лучше представлю нового нашего помещика, Алупкина Антона Семеныча.  	 ;очень рада-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;А уж я что!..  	 Полноте, Анна Ильинишна, полноте! Вот я вам лучше представлю нового нашего помещика, Алупкина Антона Семеныча.  	 Очень рада-с, ;очень рада-с;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Слава богу, пока еще живы. Ох, долго ли? Скоро, скоро они совсем осиротеют, бедняжки!  	 ;полноте;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Вы еще нас всех переживете, матушка!  	 Как зачем я это говорю, отец мой! Стало быть, есть причины, коли уж я не могу промолчать. ;то-то вот и есть;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Стану я говорить без доказательств!  	 Ну какие же доказательства?  	 ;извольте;;;;
Puzhaeva_Тургенев. Завтрак у Предводителя;Ну какие же доказательства?  	 Извольте, ;извольте;;;;
